,Unnamed: 0,Rank,Name,dataPrice
0,0,1.0,Israel,0.05
1,1,2.0,Kyrgyzstan,0.15
2,2,3.0,Fiji,0.19
3,3,4.0,Italy,0.27
4,4,5.0,Sudan,0.27
5,5,6.0,Russian Federation,0.29
6,6,7.0,Moldova,0.32
7,7,8.0,Bangladesh,0.34
8,8,9.0,Sri Lanka,0.38
9,9,10.0,Chile,0.39
10,10,11.0,France,0.41
11,11,12.0,Indonesia,0.42
12,12,13.0,Belarus,0.43
13,13,14.0,San Marino,0.43
14,14,15.0,Vietnam,0.49
15,15,16.0,Algeria,0.51
16,16,17.0,China,0.52
17,17,18.0,Samoa,0.56
18,18,19.0,Pakistan,0.59
19,19,20.0,Kazakhstan,0.59
20,20,21.0,Uzbekistan,0.60
21,21,22.0,Somalia,0.60
22,22,23.0,Mongolia,0.60
23,23,24.0,Nepal,0.61
24,24,25.0,Turkey,0.63
25,25,26.0,Poland,0.64
26,26,27.0,Ghana,0.66
27,27,28.0,India,0.68
28,28,29.0,Australia,0.70
29,29,30.0,Libya,0.74
30,30,31.0,Ukraine,0.75
31,31,32.0,Tanzania,0.75
32,32,33.0,Mauritius,0.75
33,33,34.0,Réunion,0.76
34,34,35.0,Armenia,0.76
35,35,36.0,Myanmar,0.78
36,36,37.0,Denmark,0.79
37,37,38.0,Kuwait,0.81
38,38,39.0,Mayotte,0.82
39,39,40.0,Cambodia,0.83
40,40,41.0,Bhutan,0.83
41,41,42.0,Haiti,0.85
42,42,43.0,Nigeria,0.88
43,43,44.0,Western Sahara,0.88
44,44,45.0,Morocco,0.88
45,45,46.0,Malaysia,0.89
46,46,47.0,Guadeloupe,0.89
47,47,48.0,Cameroon,0.90
48,48,49.0,Brazil,0.92
49,49,50.0,Senegal,0.94
50,50,51.0,Nicaragua,0.94
51,51,52.0,Macedonia,0.96
52,52,53.0,Finland,0.97
53,53,54.0,Afghanistan,1.02
54,54,55.0,Egypt,1.04
55,55,56.0,Ecuador,1.06
56,56,57.0,Thailand,1.06
57,57,58.0,Monaco,1.08
58,58,59.0,Tunisia,1.09
59,59,60.0,Singapore,1.09
60,60,61.0,Djibouti,1.12
61,61,62.0,Zambia,1.13
62,62,63.0,Iraq,1.14
63,63,64.0,Peru,1.15
64,64,65.0,Austria,1.17
65,65,66.0,Romania,1.18
66,66,67.0,Iceland,1.23
67,67,68.0,Spain,1.24
68,68,69.0,Rwanda,1.25
69,69,70.0,Tonga,1.28
70,70,71.0,Niger,1.28
71,71,72.0,Serbia,1.30
72,72,73.0,Jersey,1.32
73,73,74.0,El Salvador,1.33
74,74,75.0,Lithuania,1.38
75,75,76.0,Estonia,1.39
76,76,77.0,Jordan,1.41
77,77,78.0,United Kingdom,1.42
78,78,79.0,Ireland,1.42
79,79,80.0,Sweden,1.45
80,80,81.0,Guernsey,1.46
81,81,82.0,Saudi Arabia,1.47
82,82,83.0,Uruguay,1.51
83,83,84.0,Dominican Republic,1.51
84,84,85.0,Iran,1.52
85,85,86.0,Uganda,1.56
86,86,87.0,Honduras,1.56
87,87,88.0,French Guiana,1.58
88,88,89.0,Angola,1.61
89,89,90.0,Palau,1.67
90,90,91.0,Timor-Leste,1.67
91,91,92.0,Hungary,1.70
92,92,93.0,"Palestine, State of",1.71
93,93,94.0,Ethiopia,1.71
94,94,95.0,Slovenia,1.72
95,95,96.0,Dominica,1.76
96,96,97.0,Philippines,1.77
97,97,98.0,Georgia,1.80
98,98,99.0,Isle of Man,1.80
99,99,100.0,Azerbaijan,1.82
100,100,101.0,Trinidad and Tobago,1.90
101,101,102.0,Macau,1.93
102,102,103.0,Guatemala,1.94
103,103,104.0,Suriname,1.94
104,104,105.0,Guinea,1.99
105,105,106.0,American Samoa,2.00
106,106,107.0,Virgin Islands (U.S.),2.00
107,107,108.0,Malta,2.01
108,108,109.0,Burundi,2.10
109,109,110.0,Bahrain,2.12
110,110,111.0,Oman,2.12
111,111,112.0,Montenegro,2.12
112,112,113.0,Guam,2.14
113,113,114.0,Northern Mariana Islands,2.15
114,114,115.0,Bolivia,2.18
115,115,116.0,Brunei Darussalam,2.23
116,116,117.0,Eswatini,2.24
117,117,118.0,Kenya,2.25
118,118,119.0,Papua New Guinea,2.26
119,119,120.0,Bulgaria,2.26
120,120,121.0,Hong Kong,2.30
121,121,122.0,Croatia,2.35
122,122,123.0,Costa Rica,2.36
123,123,124.0,Saint Barthélemy (St. Barts),2.36
124,124,125.0,Argentina,2.38
125,125,126.0,Bosnia and Herzegovina,2.39
126,126,127.0,Saint Vincent and the Grenadines,2.41
127,127,128.0,Grenada,2.44
128,128,129.0,Paraguay,2.53
129,129,130.0,Côte d'Ivoire,2.58
130,130,131.0,Liberia,2.59
131,131,132.0,Tajikistan,2.60
132,132,133.0,Saint Lucia,2.62
133,133,134.0,Faroe Islands,2.64
134,134,135.0,Lesotho,2.66
135,135,136.0,South Africa,2.67
136,136,137.0,Jamaica,2.74
137,137,138.0,Åland Islands,2.75
138,138,139.0,Gibraltar,2.78
139,139,140.0,Mozambique,2.79
140,140,141.0,Albania,2.80
141,141,142.0,Colombia,2.80
