Date,Change
7/11/11,-24.31
7/12/11,-5.85
7/13/11,4.08
7/14/11,-8.85
7/15/11,7.28
7/18/11,-10.71
7/19/11,21.29
7/20/11,-0.89
7/21/11,17.96
7/22/11,1.21
7/25/11,-7.58
7/26/11,-5.49
7/27/11,-27.05
7/28/11,-4.22
7/29/11,-8.39
8/1/11,-5.34
8/2/11,-32.9
8/3/11,6.3
8/4/11,-60.27
8/5/11,-0.7
8/8/11,-79.91
8/9/11,53.07
8/10/11,-51.78
8/11/11,51.88
8/12/11,6.17
8/15/11,25.68
8/16/11,-11.73
8/17/11,1.12
8/18/11,-53.24
8/19/11,-17.12
8/22/11,0.29
8/23/11,38.53
8/24/11,15.25
8/25/11,-18.33
8/26/11,17.53
8/29/11,33.28
8/30/11,2.84
8/31/11,5.97
9/1/11,-14.47
9/2/11,-30.45
9/6/11,-8.73
9/7/11,33.39
9/8/11,-12.73
9/9/11,-31.67
9/12/11,8.03
9/13/11,10.61
9/14/11,15.8
9/15/11,20.44
9/16/11,6.9
9/19/11,-11.92
9/20/11,-2
9/21/11,-35.33
9/22/11,-37.2
9/23/11,6.87
9/26/11,26.52
9/27/11,12.43
9/28/11,-24.31
9/29/11,9.34
9/30/11,-28.98
10/3/11,-32.19
10/4/11,24.72
10/5/11,20.09
10/6/11,20.94
10/7/11,-9.51
10/10/11,39.42
10/11/11,0.65
10/12/11,11.72
10/13/11,-3.6
10/14/11,20.92
10/17/11,-23.72
10/18/11,24.52
10/19/11,-15.5
10/20/11,5.51
10/21/11,22.86
10/24/11,15.94
10/25/11,-25.14
10/26/11,12.95
10/27/11,42.59
10/28/11,0.5
10/31/11,-31.79
11/1/11,-35.02
11/2/11,19.63
11/3/11,23.25
11/4/11,-7.93
11/7/11,7.89
11/8/11,14.8
11/9/11,-46.83
11/10/11,10.59
11/11/11,24.17
11/14/11,-12.07
11/15/11,6.03
11/16/11,-20.9
11/17/11,-20.79
11/18/11,-0.47
11/21/11,-22.67
11/22/11,-4.95
11/23/11,-26.24
11/25/11,-3.12
11/28/11,33.88
11/29/11,2.65
11/30/11,51.77
12/1/11,-2.38
12/2/11,-0.3
12/5/11,12.8
12/6/11,1.39
12/7/11,2.54
12/8/11,-26.66
12/9/11,20.84
12/12/11,-18.72
12/13/11,-10.74
12/14/11,-13.92
12/15/11,3.93
12/16/11,3.9
12/19/11,-14.31
12/20/11,35.95
12/21/11,2.41
12/22/11,10.28
12/23/11,11.33
12/27/11,0.1
12/28/11,-15.79
12/29/11,13.38
12/30/11,-5.41
1/3/12,19.46
1/4/12,0.24
1/5/12,3.76
1/6/12,-3.25
1/9/12,2.89
1/10/12,11.38
1/11/12,0.4
1/12/12,3.03
1/13/12,-6.41
1/17/12,4.58
1/18/12,14.37
1/19/12,6.46
1/20/12,0.88
1/23/12,0.62
1/24/12,-1.35
1/25/12,11.39
1/26/12,-7.62
1/27/12,-2.1
1/30/12,-3.31
1/31/12,-0.6
2/1/12,11.68
2/2/12,1.45
2/3/12,19.36
2/6/12,-0.57
2/7/12,2.71
2/8/12,2.91
2/9/12,1.99
2/10/12,-9.31
2/13/12,9.13
2/14/12,-1.27
2/15/12,-7.27
2/16/12,14.82
2/17/12,3.18
2/21/12,0.98
2/22/12,-4.55
2/23/12,5.8
2/24/12,2.28
2/27/12,1.84
2/28/12,4.59
2/29/12,-6.49
3/1/12,8.4
3/2/12,-4.46
3/5/12,-5.29
3/6/12,-20.98
3/7/12,9.27
3/8/12,13.28
3/9/12,4.96
3/12/12,0.23
3/13/12,24.85
3/14/12,-1.67
3/15/12,8.32
3/16/12,1.57
3/19/12,5.57
3/20/12,-4.23
3/21/12,-2.62
3/22/12,-10.11
3/23/12,4.32
3/26/12,19.4
3/27/12,-4
3/28/12,-6.97
3/29/12,-2.27
3/30/12,5.19
4/2/12,10.58
4/3/12,-5.66
4/4/12,-14.42
4/5/12,-0.87
4/9/12,-15.88
4/10/12,-23.61
4/11/12,10.11
4/12/12,18.86
4/13/12,-17.3
4/16/12,-0.69
4/17/12,21.21
4/18/12,-5.64
4/19/12,-8.22
4/20/12,1.61
4/23/12,-11.59
4/24/12,5.03
4/25/12,18.72
4/26/12,9.29
4/27/12,3.38
4/30/12,-5.45
5/1/12,7.91
5/2/12,-3.52
5/3/12,-10.73
5/4/12,-22.47
5/7/12,0.49
5/8/12,-5.86
5/9/12,-9.15
5/10/12,3.42
5/11/12,-4.6
5/14/12,-15.04
5/15/12,-7.69
5/16/12,-5.86
5/17/12,-19.94
5/18/12,-9.64
5/21/12,20.77
5/22/12,0.64
5/23/12,2.23
5/24/12,1.82
5/25/12,-2.86
5/29/12,14.6
5/30/12,-19.1
5/31/12,-2.99
6/1/12,-32.28
6/4/12,0.13
6/5/12,7.32
6/6/12,29.63
6/7/12,-0.14
6/8/12,10.67
6/11/12,-16.72
6/12/12,15.24
6/13/12,-9.3
6/14/12,14.22
6/15/12,13.74
6/18/12,1.94
6/19/12,13.21
6/20/12,-2.29
6/21/12,-30.18
6/22/12,9.51
6/25/12,-21.3
6/26/12,6.27
6/27/12,11.87
6/28/12,-2.81
6/29/12,33.11
7/2/12,3.35
7/3/12,8.5
